Type,AISC_Manual_Label,W,A,d,bf,tw,tf,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
M,M12X10,10.0,2.95,12.0,3.25,0.149,0.180,–,74.7,61.7,12.2,10.3,4.57,1.03,1.02,0.636,0.592,–,–,–,0.0292
M,M10X9,9.00,2.65,10.0,2.69,0.157,0.206,–,58.4,39.0,9.22,7.79,3.83,0.672,0.809,0.500,0.503,–,–,–,0.0314
M,M10X8,8.00,2.37,9.95,2.69,0.141,0.182,–,65.0,34.6,8.20,6.95,3.82,0.593,0.711,0.441,0.500,–,–,–,0.0224
M,M10X7.5,7.50,2.22,9.99,2.69,0.130,0.173,–,71.0,33.0,7.77,6.60,3.85,0.562,0.670,0.418,0.503,–,–,–,0.0187
M,M8X6.5,6.50,1.92,8.00,2.28,0.135,0.189,–,53.8,18.5,5.43,4.63,3.11,0.376,0.529,0.329,0.443,–,–,–,0.0184
M,M8X6.2,6.20,1.82,8.00,2.28,0.129,0.177,–,56.5,17.6,5.15,4.39,3.10,0.352,0.495,0.308,0.439,–,–,–,0.0156
M,M6X4.4,4.40,1.29,6.00,1.84,0.114,0.171,–,47.0,7.23,2.80,2.41,2.36,0.180,0.311,0.195,0.372,–,–,–,0.00990
M,M6X3.7,3.70,1.09,5.92,2.00,0.0980,0.129,–,54.7,5.96,2.33,2.01,2.34,0.173,0.273,0.173,0.398,–,–,–,0.00530
M,M5X18.9,18.9,5.56,5.00,5.00,0.316,0.416,–,11.2,24.2,11.1,9.67,2.08,8.70,5.33,3.48,1.25,–,–,–,0.313
M,M4X6,6.00,1.75,3.80,3.80,0.130,0.160,–,22.0,4.72,2.74,2.48,1.64,1.47,1.18,0.771,0.915,–,–,–,0.0184
M,M4X4.08,4.08,1.27,4.00,2.25,0.115,0.170,–,26.4,3.53,2.00,1.77,1.67,0.325,0.453,0.289,0.506,–,–,–,0.0147
M,M4X3.45,3.45,1.01,4.00,2.25,0.0920,0.130,–,33.9,2.86,1.60,1.43,1.68,0.248,0.346,0.221,0.496,–,–,–,0.00820
M,M4X3.2,3.20,1.01,4.00,2.25,0.0920,0.130,–,33.9,2.86,1.60,1.43,1.68,0.248,0.346,0.221,0.496,–,–,–,0.00820
M,M3X2.9,2.90,0.914,3.00,2.25,0.0900,0.130,–,23.6,1.50,1.12,1.00,1.28,0.248,0.344,0.221,0.521,–,–,–,0.00790
S,S610X180,22900,622,622,203,20.6,27.0,–,–,5010,4230,240,34.5,595,338,38.9,–,–,–,5330,3060
S,S610X158,20100,622,622,200,15.9,27.0,–,–,4570,3930,247,32.0,547,320,39.9,–,–,–,4200,2820
S,S610X149,18900,610,610,184,19.0,22.2,–,–,3920,3260,229,19.7,393,215,32.3,–,–,–,3160,1710
S,S610X134,17100,610,610,181,15.9,22.2,–,–,3640,3060,234,18.6,367,205,33.0,–,–,–,2520,1610
S,S610X119,15200,610,610,178,12.7,22.2,–,–,3340,2870,241,17.5,341,197,34.0,–,–,–,2040,1510
S,S510X143,18200,516,514,184,20.6,23.8,–,–,3240,2700,196,20.8,408,228,33.8,–,–,–,3500,1260
S,S510X128,16300,516,514,178,17.5,23.8,–,–,3000,2540,200,19.4,379,216,34.5,–,–,–,2770,1170
S,S510X112,14200,508,508,162,15.9,20.6,–,–,2490,2100,194,12.3,274,152,29.5,–,–,–,1910,730
S,S510X98.2,12500,508,508,159,12.7,20.6,–,–,2280,1950,199,11.4,252,144,30.2,–,–,–,1490,679
S,S460X104,13200,457,457,159,17.5,17.5,–,–,2030,1690,170,9.99,234,126,27.4,–,–,–,1710,483
S,S460X81.4,10300,457,457,152,11.1,17.5,–,–,1700,1460,180,8.62,198,113,29.0,–,–,–,970,416
S,S380X74,9480,381,381,143,14.3,15.9,–,–,1260,1060,146,6.49,164,90.6,26.2,–,–,–,882,216
S,S380X64,8130,381,381,140,11.1,15.9,–,–,1130,973,151,5.95,149,85.0,26.9,–,–,–,641,198
S,S310X74,9480,305,305,140,17.5,17.5,–,–,998,829,116,6.49,169,93.2,26.2,–,–,–,1150,135
S,S310X60.7,7680,305,305,133,11.1,17.5,–,–,864,739,121,5.62,145,84.1,26.9,–,–,–,703,116
S,S310X52,6580,305,305,130,11.1,14.3,–,–,731,624,120,4.10,111,63.6,24.9,–,–,–,437,86.7
S,S310X47.3,6010,305,305,127,9.52,14.3,–,–,685,593,123,3.88,106,61.1,25.4,–,–,–,365,82.2
S,S250X52,6650,254,254,127,15.9,12.7,–,–,580,482,96.0,3.45,101,55.1,22.8,–,–,–,537,50.5
S,S250X37.8,4810,254,254,117,7.94,12.7,–,–,464,403,103,2.80,81.8,47.4,24.1,–,–,–,251,40.8
S,S200X34,4360,203,203,105,11.1,11.1,–,–,315,265,78.5,1.78,60.1,33.6,20.2,–,–,–,229,16.4
S,S200X27.4,3480,203,203,102,6.35,11.1,–,–,270,236,82.8,1.54,52.1,30.2,21.0,–,–,–,139,14.2
S,S150X25.7,3260,152,152,92.1,11.1,9.52,–,–,172,143,57.9,0.953,38.5,21.0,17.1,–,–,–,154,4.89
S,S150X18.6,2360,152,152,85.7,6.35,9.52,–,–,138,120,62.2,0.749,30.5,17.7,17.8,–,–,–,69.5,3.84
S,S130X15,1890,127,127,76.2,4.76,7.94,–,–,92.8,80.3,52.1,0.495,22.5,13.0,16.2,–,–,–,47.5,1.75
S,S100X14.1,1800,102,102,69.8,7.94,7.94,–,–,66.2,55.4,39.6,0.369,18.5,10.4,14.3,–,–,–,49.9,0.819
S,S100X11.5,1460,102,102,66.7,4.76,7.94,–,–,57.4,49.7,41.7,0.311,15.9,9.21,14.6,–,–,–,30.5,0.690
